state,district,N,P,K,pH,organic_carbon,soil_moisture,soil_type,temperature_c,humidity_pct,rainfall_mm,wind_speed_ms,solar_radiation_wm2,evapotranspiration_mm,crop
Uttar Pradesh,Chandauli,53.1,42.9,61.1,6.21,0.5,28.7,Clayey,21.4,63.7,57.1,0.99,463.7,3.94,Onion
Maharashtra,Beed,42.7,31.5,49.0,6.07,0.42,25.1,Black Cotton,26.1,55.8,85.9,0.1,406.9,4.48,Tobacco
Bihar,Bhojpur,41.6,79.3,41.8,6.34,0.75,27.4,Laterite,21.7,60.8,80.5,1.63,400.8,1.71,Soybean
Rajasthan,Rajsamand,67.8,35.6,39.8,6.44,0.41,39.1,Sandy,21.5,86.8,239.2,0.5,568.1,2.74,Rice
Rajasthan,Churu,21.0,63.5,38.5,6.4,0.35,13.6,Sandy,23.2,30.3,49.7,1.84,468.4,1.56,Bengal Gram
Bihar,Kishanganj,76.9,48.9,42.9,5.99,0.54,38.5,Loamy,23.5,85.6,239.1,1.64,321.9,2.83,Rice
West Bengal,Darjeeling,114.4,65.4,47.5,6.8,0.47,39.0,Black Cotton,27.7,86.6,192.3,0.19,499.8,1.7,Sugarcane
Maharashtra,Solapur,90.1,73.1,50.7,6.52,0.53,35.3,Clayey,28.8,78.5,93.0,0.63,175.8,3.12,Banana
Karnataka,Mysuru,47.6,33.4,49.5,6.19,0.69,28.9,Clayey,24.0,64.2,77.4,1.15,449.7,2.04,Tobacco
Tamil Nadu,Virudhunagar,56.2,34.1,33.0,6.49,0.74,23.9,Black Cotton,26.1,53.1,72.7,1.14,348.5,4.2,Tobacco
West Bengal,Purba Medinipur,47.3,54.8,63.2,6.9,0.41,27.5,Silty,19.4,61.1,50.6,0.1,682.1,3.11,Tomato
Bihar,Rohtas,50.4,41.3,55.6,6.59,0.61,25.2,Red Soil,17.7,55.9,43.9,0.7,297.4,1.36,Onion
Punjab,SBS Nagar,96.9,68.3,44.2,7.32,0.61,36.9,Laterite,26.5,81.9,208.3,0.74,365.5,1.74,Sugarcane
Uttar Pradesh,Saharanpur,28.3,65.8,32.4,6.31,0.6,25.2,Loamy,25.1,56.0,63.8,1.2,400.0,2.53,Toor
Tamil Nadu,Tiruchirappalli,16.9,54.9,28.4,7.03,0.49,29.0,Clayey,26.3,64.4,48.0,1.99,398.6,1.46,Moong
Tamil Nadu,Chennai,68.9,60.9,38.9,6.13,0.41,24.6,Silty,27.7,54.6,73.2,0.55,447.4,2.94,Sunflower
Bihar,Purnia,20.7,37.3,17.3,6.86,0.7,11.2,Sandy,28.4,24.9,40.4,1.68,413.4,3.74,Bajra
Tamil Nadu,Thoothukudi,41.6,69.4,35.2,6.02,0.5,23.2,Clayey,19.4,51.6,68.2,1.47,467.0,0.44,Wheat
Andhra Pradesh,Nandyal,23.1,38.3,16.2,6.4,0.63,11.6,Loamy,32.0,25.7,31.2,0.83,685.2,3.38,Ragi
Karnataka,Raichur,38.2,65.4,44.6,6.02,0.32,19.3,Silty,23.1,42.8,54.0,1.49,429.5,3.19,Soybean
Rajasthan,Jaipur,118.3,61.7,51.7,6.5,0.7,36.7,Clayey,35.0,81.6,197.3,1.63,334.5,4.24,Sugarcane
Maharashtra,Satara,68.7,46.3,35.4,5.72,0.64,39.3,Laterite,20.7,87.3,299.0,0.17,431.8,3.71,Rice
